id,formula,name,family,source,sigma_ion_S_cm,E_g_eV,stability_window_V,migration_barrier_eV,cost_index,dn_pbp_v2,a_A,b_A,c_A,space_group,DOI,rank
OBX-0182,Li3.425Si0.425P0.575S4,Li3.425Si0.425P0.575S4,lgps,OBELiX,0.00565,2.5,5.0,0.22,1.0,7.3201664818918655,8.653,8.653,12.51,P42/nmc ,10.1039/c4fd00143e,23
OBX-0196,Li9.81Sn0.81P2.19S12,Li9.81Sn0.81P2.19S12,lgps,OBELiX,0.0055,2.5,5.0,0.22,1.017391304347826,7.3191619848709575,8.73764,8.73764,12.7166,P42/nmc ,10.1107/s2052520615022283,24
OBX-0181,Li3.475Si0.475P0.525S4,Li3.475Si0.475P0.525S4,lgps,OBELiX,0.00527,2.5,5.0,0.22,1.0,7.317594765651527,8.672,8.672,12.536,P42/nmc ,10.1039/c4fd00143e,25
OBX-0187,Li3.27Sn0.27P0.73S4,Li3.27Sn0.27P0.73S4,lgps,OBELiX,0.00496,2.5,5.0,0.22,1.0,7.315427267446637,8.7405,8.7405,12.715,P42/nmc ,10.1039/c4fd00143e,26
OBX-0188,Li3.26Sn0.26P0.74S4,Li3.26Sn0.26P0.74S4,lgps,OBELiX,0.00453,2.5,5.0,0.22,1.0,7.312305274681856,8.737,8.737,12.713,P42/nmc ,10.1039/c4fd00143e,27
SUP-0228,Li5.58PS4.7ClBr0.3,Li5.58PS4.7ClBr0.3,superionic,McHaffie-CaltechDATA,0.0124,4.0,4.5,0.4,1.0636363636363635,7.311355287256601,0.0,0.0,0.0,,10.22002/23mvv-6gk43,28
OBX-0186,Li3.285Sn0.28P0.72S4,Li3.285Sn0.28P0.72S4,lgps,OBELiX,0.00436,2.5,5.0,0.22,1.0,7.311030296076877,8.721,8.721,12.725,P42/nmc ,10.1039/c4fd00143e,29
SUP-0358,Li10GePS12,Li10GePS12,superionic,McHaffie-CaltechDATA,0.0121,4.0,4.5,0.4,1.175,7.3100000000000005,0.0,0.0,0.0,,10.22002/23mvv-6gk43,30
OBX-0184,Li3.335Sn0.33P0.67S4,Li3.335Sn0.33P0.67S4,lgps,OBELiX,0.00373,2.5,5.0,0.22,1.0,7.30607372593841,8.743,8.743,12.782,P42/nmc ,10.1039/c4fd00143e,31
OBX-0185,Li3.3Sn0.3P0.7S4,Li3.3Sn0.3P0.7S4,lgps,OBELiX,0.00365,2.5,5.0,0.22,1.0,7.3054152298679735,8.731,8.731,12.768,P42/nmc ,10.1039/c4fd00143e,32
OBX-0189,Li3.25Sn0.25P0.75S4,Li3.25Sn0.25P0.75S4,lgps,OBELiX,0.0036,2.5,5.0,0.22,1.0,7.305000000000001,8.722,8.722,12.72,P42/nmc ,10.1039/c4fd00143e,33
SUP-0007,Li10.35(Sn0.2Si0.8)1.35P1.65S12,Li10.35(Sn0.2Si0.8)1.35P1.65S12,superionic,McHaffie-CaltechDATA,0.011,4.0,4.5,0.4,1.008695652173913,7.304880884817016,0.0,0.0,0.0,,10.22002/23mvv-6gk43,34
SUP-0097,Li5.35Ca0.1PS4.5Cl1.55,Li5.35Ca0.1PS4.5Cl1.55,superionic,McHaffie-CaltechDATA,0.0102,4.0,4.5,0.4,1.0636363636363635,7.300995049383621,0.0,0.0,0.0,,10.22002/23mvv-6gk43,35
SUP-0208,Li6.28Si0.45Sb0.55S5.04I0.96,Li6.28Si0.45Sb0.55S5.04I0.96,superionic,McHaffie-CaltechDATA,0.00998,4.0,4.5,0.4,1.0,7.299899949949938,0.0,0.0,0.0,,10.22002/23mvv-6gk43,36
SUP-0077,Li5.5PS4.5Cl1.5,Li5.5PS4.5Cl1.5,superionic,McHaffie-CaltechDATA,0.00941,4.0,4.5,0.4,1.0636363636363635,7.297005154502223,0.0,0.0,0.0,,10.22002/23mvv-6gk43,37
OBX-0190,Li10SiP2S12,Li10SiP2S12,lgps,OBELiX,0.0023,2.5,5.0,0.22,1.056,7.292958315233128,8.6512,8.6512,12.5095,P42/nmc ,10.1149/2.0501412jes,38
OBX-0123,Li10Ge0.95Si0.05P2S12,Li10Ge0.95Si0.05P2S12,other,OBELiX,0.0086,4.0,4.5,0.4,1.0166666666666666,7.292736184954958,8.7149,8.7149,12.599,P42/nmc ,10.1016/j.jpowsour.2014.07.159,39
SUP-0098,Li5.3Ca0.1PS4.5Cl1.5,Li5.3Ca0.1PS4.5Cl1.5,superionic,McHaffie-CaltechDATA,0.0077,4.0,4.5,0.4,1.0636363636363635,7.287749643873922,0.0,0.0,0.0,,10.22002/23mvv-6gk43,40
P-04,Li3PS3.5O0.5,O-doped Li3PS4,sulfide,Sci.Rep. 5 14227 (2015),0.0032,2.7,5.5,0.28,1.2,7.286568542494924,0.0,0.0,0.0,,,41
SUP-0096,Li5.55Ca0.1PS4.75Cl1.25,Li5.55Ca0.1PS4.75Cl1.25,superionic,McHaffie-CaltechDATA,0.0068,4.0,4.5,0.4,1.0636363636363635,7.282462112512354,0.0,0.0,0.0,,10.22002/23mvv-6gk43,42
OBX-0222,Li1.2Ti1.8Al0.2(PO4)3,Li1.2Ti1.8Al0.2(PO4)3,nasicon,OBELiX,0.00482,5.0,5.0,0.35,1.1714285714285713,7.281926219830839,8.502,8.502,20.818, R-3,10.1021/ic400577v,43
OBX-0596,Li10Ge0.66Sn0.33P2S12,Li10Ge0.66Sn0.33P2S12,other,OBELiX,0.0064,4.0,4.5,0.4,1.0166666666666666,7.280000000000001,8.7068,8.7068,12.6394,P42/nmcZ,10.1021/jacs.0c10735,44
OBX-0207,Li9.6P3S12,Li9.6P3S12,lgps,OBELiX,0.0012,2.5,5.0,0.22,1.0250000000000001,7.279641016151379,8.7144,8.7144,12.4677,P42/nmc ,10.1038/nenergy.2016.30,45
SUP-0206,Li6.22Ge0.43Sb0.57S5I,Li6.22Ge0.43Sb0.57S5I,superionic,McHaffie-CaltechDATA,0.0063,4.0,4.5,0.4,1.1666666666666667,7.279372539331939,0.0,0.0,0.0,,10.22002/23mvv-6gk43,46
SUP-0013,Li1.312Al0.407Ti1.592(PO4)3,Li1.312Al0.407Ti1.592(PO4)3,superionic,McHaffie-CaltechDATA,0.00563,4.0,4.5,0.4,1.1714285714285713,7.275033325929217,0.0,0.0,0.0,,10.22002/23mvv-6gk43,47
SUP-0014,Li1.421Al0.421Ti1.579(PO4)3,Li1.421Al0.421Ti1.579(PO4)3,superionic,McHaffie-CaltechDATA,0.00563,4.0,4.5,0.4,1.1714285714285713,7.275033325929217,0.0,0.0,0.0,,10.22002/23mvv-6gk43,48
OBX-0426,Li6.7P0.3Ge0.7S5I,Li6.7P0.3Ge0.7S5I,other,OBELiX,0.00554,4.0,4.5,0.4,1.1666666666666667,7.274431176263715,10.2851,10.2851,10.2851,F-43m,10.1021/jacs.8b10282,49
SUP-0266,Li5.77PS5Br,Li5.77PS5Br,superionic,McHaffie-CaltechDATA,0.00548,4.0,4.5,0.4,1.1833333333333333,7.274027022093287,0.0,0.0,0.0,,10.22002/23mvv-6gk43,50
OBX-0425,Li6.6P0.4Ge0.6S5I,Li6.6P0.4Ge0.6S5I,other,OBELiX,0.00521,4.0,4.5,0.4,1.1666666666666667,7.272180329730475,10.24314,10.24314,10.24314,F-43m,10.1021/jacs.8b10282,51
SUP-0095,Li5.7Ca0.15PS5Cl,Li5.7Ca0.15PS5Cl,superionic,McHaffie-CaltechDATA,0.0052,4.0,4.5,0.4,1.0583333333333333,7.272111025509281,0.0,0.0,0.0,,10.22002/23mvv-6gk43,52
OBX-0204,Li9.4Ba0.3GeP2S12,Li9.4Ba0.3GeP2S12,lgps,OBELiX,0.000707,2.5,5.0,0.22,1.1833333333333333,7.271589471600617,8.734,8.734,13.005,P42/nmc ,10.1016/j.ssi.2017.01.014,53
SUP-0227,Li5.82PS4.7ClBr,Li5.82PS4.7ClBr,superionic,McHaffie-CaltechDATA,0.00502,4.0,4.5,0.4,1.2249999999999999,7.270851958335674,0.0,0.0,0.0,,10.22002/23mvv-6gk43,54
OBX-0297,Li1.4Al0.4Ti1.6 (PO4)3,Li1.4Al0.4Ti1.6 (PO4)3,nasicon,OBELiX,0.00338,5.0,5.0,0.35,1.1714285714285713,7.2706377674149945,8.4975,8.4975,20.7921,R-3c,10.1016/j.jeurceramsoc.2014.11.023,55
OBX-0597,Li10Ge0.33Sn0.66P2S12,Li10Ge0.33Sn0.66P2S12,other,OBELiX,0.0048,4.0,4.5,0.4,1.0166666666666666,7.269282032302756,8.7182,8.7182,12.6876,P42/nmcZ,10.1021/jacs.0c10735,56
OBX-0203,Li9.6Ba0.2GeP2S12,Li9.6Ba0.2GeP2S12,lgps,OBELiX,0.000572,2.5,5.0,0.22,1.1833333333333333,7.2689165214862035,8.727,8.727,12.908,P42/nmc ,10.1016/j.ssi.2017.01.014,57
OBX-0202,Li9.8Ba0.1GeP2S12,Li9.8Ba0.1GeP2S12,lgps,OBELiX,0.000561,2.5,5.0,0.22,1.1833333333333333,7.268685438564654,8.716,8.716,12.728,P42/nmc ,10.1016/j.ssi.2017.01.014,58
SUP-0015,Li1.414Al0.511Ti1.489(PO4)3,Li1.414Al0.511Ti1.489(PO4)3,superionic,McHaffie-CaltechDATA,0.0047,4.0,4.5,0.4,1.1714285714285713,7.268556546004011,0.0,0.0,0.0,,10.22002/23mvv-6gk43,59
SUP-0205,Li6.07Si0.34Sb0.66S5.01I0.99,Li6.07Si0.34Sb0.66S5.01I0.99,superionic,McHaffie-CaltechDATA,0.00414,4.0,4.5,0.4,1.0,7.264342831768582,0.0,0.0,0.0,,10.22002/23mvv-6gk43,60
OBX-0205,Li9.2Ba0.4GeP2S12,Li9.2Ba0.4GeP2S12,lgps,OBELiX,0.000316,2.5,5.0,0.22,1.1833333333333333,7.262776388834632,8.752,8.752,13.011,P42/nmc ,10.1016/j.ssi.2017.01.014,61
OBX-0405,Li6P(S4.8Se0.2)Br,Li6P(S4.8Se0.2)Br,other,OBELiX,0.00392,4.0,4.5,0.4,1.1833333333333333,7.262609903369995,9.9946,9.9946,9.9946,F-43m,10.1021/acs.inorgchem.8b02443,62
OBX-0433,Fe0.19La2.95Li5.57Zr2O12,Fe0.19La2.95Li5.57Zr2O12,garnet,OBELiX,0.00138,5.0,6.0,0.3,2.142857142857143,7.262148351242013,12.9769,12.9769,12.9769,I-43d ,10.1021/acs.chemmater.6b02516,63
OBX-0412,Li6P(S4.1Se0.9)Br,Li6P(S4.1Se0.9)Br,other,OBELiX,0.00382,4.0,4.5,0.4,1.1833333333333333,7.26180614856145,10.0418,10.0418,10.0418,F-43m,10.1021/acs.inorgchem.8b02443,64
SUP-0067,Li1.5 Al0.5 Ti1.5 (P O4)3,Li1.5 Al0.5 Ti1.5 (P O4)3,superionic,McHaffie-CaltechDATA,0.0038,4.0,4.5,0.4,1.1714285714285713,7.2616441400296905,0.0,0.0,0.0,,10.22002/23mvv-6gk43,65
OBX-0501,Li6.05Ga0.25La3Zr2O11.8F0.2,Li6.05Ga0.25La3Zr2O11.8F0.2,garnet,OBELiX,0.00128,5.0,6.0,0.3,2.409090909090909,7.260777087639997,12.96891,12.96891,12.96891,Ia-3d ,10.1021/acsami.8b17656,66
OBX-0407,Li6P(S4.6Se0.4)Br,Li6P(S4.6Se0.4)Br,other,OBELiX,0.00364,4.0,4.5,0.4,1.1833333333333333,7.260332412515994,10.0079,10.0079,10.0079,F-43m,10.1021/acs.inorgchem.8b02443,67
OBX-0406,Li6P(S4.7Se0.3)Br,Li6P(S4.7Se0.3)Br,other,OBELiX,0.00362,4.0,4.5,0.4,1.1833333333333333,7.260166435825966,9.9974,9.9974,9.9974,F-43m,10.1021/acs.inorgchem.8b02443,68
OBX-0413,Li6P(S4Se)Br,Li6P(S4Se)Br,other,OBELiX,0.00361,4.0,4.5,0.4,1.4,7.2600832755432,10.0522,10.0522,10.0522,F-43m,10.1021/acs.inorgchem.8b02443,69
OBX-0411,Li6P(S4.2Se0.8)Br,Li6P(S4.2Se0.8)Br,other,OBELiX,0.00348,4.0,4.5,0.4,1.1833333333333333,7.258991524815011,10.0332,10.0332,10.0332,F-43m,10.1021/acs.inorgchem.8b02443,70
OBX-0381,Li6PS5Cl0.5Br0.5,Li6PS5Cl0.5Br0.5,other,OBELiX,0.00333,4.0,4.5,0.4,1.0166666666666666,7.257706152185015,9.952,9.952,9.952,F-43m,10.1021/jacs.7b06327,71
OBX-0033,Li3InCl6,Li3InCl6,halide,OBELiX,0.00204,5.0,4.5,0.35,1.7,7.2576663591625445,6.432,11.093,6.398,C2/m ,10.1002/anie.201909805,72
OBX-0509,Li6.5La3Zr1.75Te0.25O12,Li6.5La3Zr1.75Te0.25O12,garnet,OBELiX,0.00102,5.0,6.0,0.3,2.1818181818181817,7.256937438845343,12.9134,12.9134,12.9134,Ia-3d ,10.1016/j.jpowsour.2013.03.166,73
OBX-0490,Li6.4La3Zr1.4Ta0.6O12,Li6.4La3Zr1.4Ta0.6O12,garnet,OBELiX,0.001,5.0,6.0,0.3,2.1818181818181817,7.2566227766016835,12.922,12.922,12.922,Ia-3d ,10.1039/c2jm31413d,74
OBX-0007,Li7P3S11,Li7P3S11,other,OBELiX,0.0032,4.0,4.5,0.4,1.0285714285714287,7.256568542494924,12.5009,6.0316,12.5303,P -1,10.1039/c3ee41655k|10.1016/j.ssi.2007.05.020|10.1016/j.ssi.2006.04.017,75
OBX-0404,Li6P(S4.9Se0.1)Br,Li6P(S4.9Se0.1)Br,other,OBELiX,0.0032,4.0,4.5,0.4,1.1833333333333333,7.256568542494924,9.9902,9.9902,9.9902,F-43m,10.1021/acs.inorgchem.8b02443,76
SUP-0012,Li1.252Al0.281Ti1.718(PO4)3,Li1.252Al0.281Ti1.718(PO4)3,superionic,McHaffie-CaltechDATA,0.00317,4.0,4.5,0.4,1.1714285714285713,7.256302753041037,0.0,0.0,0.0,,10.22002/23mvv-6gk43,77
SUP-0539,Li10.34Si1.35P1.65S9.68O2.3,Li10.34Si1.35P1.65S9.68O2.3,superionic,McHaffie-CaltechDATA,0.00313,4.0,4.5,0.4,1.0521739130434782,7.255946402922798,0.0,0.0,0.0,,10.22002/23mvv-6gk43,78
OBX-0432,Fe0.16La2.95Li5.68Zr2O12,Fe0.16La2.95Li5.68Zr2O12,garnet,OBELiX,0.000935,5.0,6.0,0.3,2.142857142857143,7.255577769702842,12.9783,12.9783,12.9783,I-43d ,10.1021/acs.chemmater.6b02516,79
SUP-0060,Li3.01ScCl6,Li3.01ScCl6,superionic,McHaffie-CaltechDATA,0.00305,4.0,4.5,0.4,1.6,7.255226805085937,0.0,0.0,0.0,,10.22002/23mvv-6gk43,80
OBX-0537,Li5.74La3Zr1.5Ta0.5O12,Li5.74La3Zr1.5Ta0.5O12,garnet,OBELiX,0.000903,5.0,6.0,0.3,2.238095238095238,7.255049958402633,12.93,12.93,12.93,Ia-3d ,10.1002/aenm.201570062|10.1002/aenm.201500096,81
OBX-0206,Li9Ba0.5GeP2S12,Li9Ba0.5GeP2S12,lgps,OBELiX,9.98e-05,2.5,5.0,0.22,1.1833333333333333,7.254989994994994,8.77,8.77,13.053,P42/nmc ,10.1016/j.ssi.2017.01.014,82
OBX-0410,Li6P(S4.3Se0.7)Br,Li6P(S4.3Se0.7)Br,other,OBELiX,0.00301,4.0,4.5,0.4,1.1833333333333333,7.2548634668973815,10.0265,10.0265,10.0265,F-43m,10.1021/acs.inorgchem.8b02443,83
OBX-0580,Li6.5La2.9Ba0.1Zr1.4Ta0.6O12,Li6.5La2.9Ba0.1Zr1.4Ta0.6O12,garnet,OBELiX,0.000834,5.0,6.0,0.3,1.9047619047619047,7.253879058156388,12.944,12.944,12.944,Ia-3d ,10.3389/fenrg.2016.00028,84
OBX-0579,Li6.5La2.95Ba0.05Zr1.45Ta0.55O12,Li6.5La2.95Ba0.05Zr1.45Ta0.55O12,garnet,OBELiX,0.000832,5.0,6.0,0.3,1.9047619047619047,7.253844410203712,12.949,12.949,12.949,Ia-3d ,10.3389/fenrg.2016.00028,85
OBX-0488,Li7.06La3Y0.06Zr1.94O12,Li7.06La3Y0.06Zr1.94O12,garnet,OBELiX,0.00081,5.0,6.0,0.3,2.130434782608696,7.253460498941515,12.9672,12.9672,12.9672,Ia-3d ,10.1016/j.elecom.2011.08.014,86
OBX-0570,Li6.75La3Zr1.75Nb0.25O12,Li6.75La3Zr1.75Nb0.25O12,garnet,OBELiX,0.0008,5.0,6.0,0.3,2.1818181818181817,7.253284271247462,12.9519,12.9519,12.9519,Ia-3d ,10.1016/j.jpowsour.2010.11.089,87
OBX-0556,Li6.6La3Zr1.6Sb0.4O12,Li6.6La3Zr1.6Sb0.4O12,garnet,OBELiX,0.00077,5.0,6.0,0.3,2.1818181818181817,7.252748873851023,12.95955,12.95955,12.95955,Ia-3d ,10.1039/c3cp50991e,88
OBX-0409,Li6P(S4.4Se0.6)Br,Li6P(S4.4Se0.6)Br,other,OBELiX,0.00278,4.0,4.5,0.4,1.1833333333333333,7.252725705305857,10.0259,10.0259,10.0259,F-43m,10.1021/acs.inorgchem.8b02443,89
OBX-0492,Li6.8La3Zr1.8Ta0.2O12,Li6.8La3Zr1.8Ta0.2O12,garnet,OBELiX,0.00073,5.0,6.0,0.3,2.1818181818181817,7.252018512172213,12.978,12.978,12.978,Ia-3d ,10.1149/2.024205esl,90
SUP-0540,Li13.73Si1.35P1.65S10.46O1.54,Li13.73Si1.35P1.65S10.46O1.54,superionic,McHaffie-CaltechDATA,0.00269,4.0,4.5,0.4,1.0461538461538462,7.25186520991956,0.0,0.0,0.0,,10.22002/23mvv-6gk43,91
OBX-0408,Li6P(S4.5Se0.5)Br,Li6P(S4.5Se0.5)Br,other,OBELiX,0.00268,4.0,4.5,0.4,1.1833333333333333,7.25176871642218,10.0176,10.0176,10.0176,F-43m,10.1021/acs.inorgchem.8b02443,92
OBX-0499,Li6.7La3Zr1.7Ta0.3O12,Li6.7La3Zr1.7Ta0.3O12,garnet,OBELiX,0.00069,5.0,6.0,0.3,2.1818181818181817,7.251267851073127,12.9721,12.9721,12.9721,Ia-3d ,10.1149/2.024205esl,93
OBX-0427,Li6.8P0.2Ge0.8S5I,Li6.8P0.2Ge0.8S5I,other,OBELiX,0.00258,4.0,4.5,0.4,1.1666666666666667,7.250793700396802,10.2998,10.2998,10.2998,F-43m,10.1021/jacs.8b10282,94
OBX-0557,Li6.4La3Zr1.4Sb0.6O12,Li6.4La3Zr1.4Sb0.6O12,garnet,OBELiX,0.00066,5.0,6.0,0.3,2.1818181818181817,7.25069046515733,12.95179,12.95179,12.95179,Ia-3d ,10.1039/c3cp50991e,95
OBX-0581,Li6.5La2.8Ba0.2Zr1.3Ta0.7O12,Li6.5La2.8Ba0.2Zr1.3Ta0.7O12,garnet,OBELiX,0.000631,5.0,6.0,0.3,1.9047619047619047,7.250119713374161,12.952,12.952,12.952,Ia-3d ,10.3389/fenrg.2016.00028,96
OBX-0493,Li6.75La3Zr1.75Ta0.25O12,Li6.75La3Zr1.75Ta0.25O12,garnet,OBELiX,0.00063,5.0,6.0,0.3,2.1818181818181817,7.250099800796022,12.9801,12.9801,12.9801,Ia-3d ,10.1149/2.024205esl,97
OBX-0540,Li49.6Al1.6La24Zr14.4Ta1.6O96,Li49.6Al1.6La24Zr14.4Ta1.6O96,garnet,OBELiX,0.000614,5.0,6.0,0.3,2.328108108108108,7.249779023386727,12.958,12.958,12.958,Ia-3d ,10.1038/srep18053,98
OBX-0399,Li6.35P0.65Si0.35S5Br,Li6.35P0.65Si0.35S5Br,other,OBELiX,0.00234,4.0,4.5,0.4,1.1666666666666667,7.248373546489792,10.0468,10.0468,10.0468,F-43m,10.1039/c7ta08581h,99
OBX-0278,Li1.3Al0.15Sc0.15Ti1.7(PO4)3,Li1.3Al0.15Sc0.15Ti1.7(PO4)3,nasicon,OBELiX,0.00124,5.0,5.0,0.35,1.1714285714285713,7.247713633723318,8.5244,8.5244,20.9553,R-3c,10.1016/j.ssi.2012.03.045,100
OBX-0385,Li6PS5Cl0.75Br0.25,Li6PS5Cl0.75Br0.25,other,OBELiX,0.00226,4.0,4.5,0.4,1.0166666666666666,7.2475394572960194,9.8911,9.8911,9.8911,F-43m,10.1021/jacs.7b06327,101
OBX-0074,Li6SiO4Cl2,Li6SiO4Cl2,argyrodite,OBELiX,1e-10,2.5,5.0,0.21,1.1538461538461537,7.24751,10.5204,6.0756,9.953,Pna21,10.1021/acs.chemmater.1c00157,102
OBX-0275,Li1.7Al0.3Ti1.6(PO4)3,Li1.7Al0.3Ti1.6(PO4)3,nasicon,OBELiX,0.00122,5.0,5.0,0.35,1.1714285714285713,7.247428498393146,8.46,8.46,20.69,R-3c,10.1016/s0167-2738(00)00493-8,103
OBX-0582,Li6.5La2.7Ba0.3Zr1.2Ta0.8O12,Li6.5La2.7Ba0.3Zr1.2Ta0.8O12,garnet,OBELiX,0.000492,5.0,6.0,0.3,1.9047619047619047,7.247181073012818,12.964,12.964,12.964,Ia-3d ,10.3389/fenrg.2016.00028,104
OBX-0502,Li5.72Al0.26La3Zr1.5W0.25O12,Li5.72Al0.26La3Zr1.5W0.25O12,garnet,OBELiX,0.00049,5.0,6.0,0.3,2.238095238095238,7.247135943621179,12.954,12.954,12.954,Ia-3d ,10.1021/acs.chemmater.5b02429,105
OBX-0018,Li3.25Ge0.25P0.75S4,Li3.25Ge0.25P0.75S4,other,OBELiX,0.0022,4.0,4.5,0.4,1.0,7.246904157598235,13.395,22.979,18.1981,P21/m,10.1149/1.1379028,106
OBX-0400,Li6.5P0.5Si0.5S5Br,Li6.5P0.5Si0.5S5Br,other,OBELiX,0.00219,4.0,4.5,0.4,1.1666666666666667,7.246797435827191,10.0521,10.0521,10.0521,F-43m,10.1039/c7ta08581h,107
OBX-0495,Li6.6La3Zr1.6Ta0.4O12,Li6.6La3Zr1.6Ta0.4O12,garnet,OBELiX,0.00047,5.0,6.0,0.3,2.1818181818181817,7.246679483388679,12.947,12.947,12.947,Ia-3d ,10.1149/2.024205esl,108
